run_id,timestamp,CPU Model,CPU Cores,CPU Frequency,Total RAM,GPU Model,Operating System,DRL Algorithm Used,batch_size,buffer_size,learning_rate,beta,epsilon,lambda,num_epoch,normalize,hidden_units,num_layers,gamma,max_steps,time_horizon,3DBall.Environment.CumulativeReward.mean,Time Elapsed/s

benchmark,2025-11-12T18:08:02Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,64,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,3.228986,40.000
doubleBatchSize,2025-11-12T18:10:04Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,128,12000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,3.264000,32.000
halfBufferSize,2025-11-12T18:11:38Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,64,6000,0.0003,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,32.785299,35.000
doubleLearningRate,2025-11-12T18:13:09Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,64,12000,0.0006,0.001,0.2,0.99,3,True,128,2,0.99,500000,1000,3.991526,35.000
doubleBeta,2025-11-12T18:16:53Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,64,12000,0.0003,0.002,0.2,0.99,3,True,128,2,0.99,500000,1000,2.925926,33.000
halfEpsilon,2025-11-12T18:18:25Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,64,12000,0.0003,0.001,0.1,0.99,3,True,128,2,0.99,500000,1000,1.651835,52.000
doubleNum_Layers,2025-11-12T18:20:12Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,64,12000,0.0003,0.001,0.1,0.99,3,True,128,4,0.99,500000,1000,1.971355,36.000
doubleMax_Steps,2025-11-12T18:22:07Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,64,12000,0.0003,0.001,0.1,0.99,3,True,128,2,0.99,100000,1000,1.788221,32.000
halfTimeHorizon,2025-11-12T18:23:54Z,"AMD64 Family 25 Model 97 Stepping 2, AuthenticAMD",8,4201.00 MHz,15.14 GB,NVIDIA GeForce RTX 2070 SUPER,Windows 10,PPO,64,12000,0.0003,0.001,0.1,0.99,3,True,128,2,0.99,50000,500,1.702797,35.000
